,artist_name,artist_id,track_name,track_id,popularity,artist_popularity,genres,followers
640,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Die For You (with Ariana Grande) - Remix,4W4fNrZYkobj539TOWsLO2,84,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
641,Michelle Maciel,4WFwvZ4L8FZbt3qubbQJS6,CCC,7uuqrSuCjWxPTCVyOeGMyt,84,67,['urbano mexicano'],87457
642,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,I Wish you Roses,35SbrfbaSpGUBX7e5BPega,74,82,['colombian pop'],5569617
643,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Dead or Alive,5itTZ7kNRBl65Nn1QO9Ax9,74,78,"['melodic rap', 'pluggnb', 'rap']",6502431
644,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,Out Of That Truck,1xdsRkWxWWUkKhh9hRtfYp,72,68,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'country road', 'dance pop']",5889576
645,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Boys Of Faith (feat. Bon Iver),4Zj2uX6ApCFK9XzjwIhCIr,74,86,"['classic oklahoma country', 'modern country pop']",2496766
646,Grupo Marca Registrada,1gW6pz5n1aK249L0GvfQCC,Di Que Sí,0pliiCOWPN0IId8sXAqNJr,77,76,"['corrido', 'norteno', 'sad sierreno']",3316125
647,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Yes or No,2gkVEnpahpE3bQuvGuCpAV,83,88,['k-pop'],10924148
648,Jimin,1oSPZhvZMIrWW5I41kPkkY,Like Crazy (English Version),6EY9e6LyPWmL8hUS5E1P0h,79,80,['k-pop'],6820194
649,Natanael Cano,0elWFr7TW8piilVRYJUe4P,AMG,0FxtC8uFapbpDBliAU3sd6,79,84,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",9278329
650,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,WORTH IT (feat. Don Toliver),7kp6XhIxrvNb8BgTwLjaEx,78,79,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",3184634
651,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,Memory Lane,5kB6WithhB8Iv08EMNmAbt,73,67,"['contemporary country', 'country', 'country road', 'modern country rock']",1427509
652,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Moment Of Your Life (feat. Coco Jones),4mYSL3RDHto3rcl7I57ndv,72,82,"['r&b', 'rap']",4864019
653,Natanael Cano,0elWFr7TW8piilVRYJUe4P,O Me Voy O Te Vas,127UT7AiWflJwjXWUBBVTQ,84,84,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",9278329
654,KAROL G,790FomKkXshlbRYZFtlgla,S91,7EpOXgSRgnglRWr86pZfGU,83,88,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",41224849
655,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,LOOOVE (feat. Kid Cudi),0a4SMs889NwP8oWI7Vemle,77,90,"['hip hop', 'rap', 'slap house']",24940449
656,Tyler Hubbard,3BEV5FcxOtkQJ7lLRKMh3V,5 Foot 9,0U4iRayct65wsaBMQGiLbg,73,62,"['contemporary country', 'modern country pop']",102346
657,Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,Superpowers,736PP5LTtREkDgktNmX3Gu,75,78,['canadian contemporary r&b'],4709006
658,BigXthaPlug,6qxpnaukVayrQn6ViNvu9I,Safehouse,5UOVAi0nL5PBj6OJLat2xO,71,68,['southern hip hop'],237718
659,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Hate You,5ONOlTiqymhzwcFjqcIT6E,83,88,['k-pop'],10924148
660,Drake,3TVXtAsR1Inumwj472S9r4,Fear Of Heights,2GB0DlX5l8gmqAW0SQa6yF,75,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",81476124
661,Jimin,1oSPZhvZMIrWW5I41kPkkY,Set Me Free Pt.2,59hBR0BCtJsfIbV9VzCVAp,82,80,['k-pop'],6820194
662,Hozier,2FXC3k01G6Gw61bmprjgqS,Francesca,6QnfsyzifAJJrNHYTO6j9J,71,79,"['irish singer-songwriter', 'modern rock', 'pov: indie']",6069608
663,Laufey,7gW0r5CkdEUMm42w9XpyZO,Lovesick,39fD0qvjgk8RarJnoBiDTx,76,77,['gen z singer-songwriter'],2052338
664,Chino Pacas,2rmkQLzj0k4nZdQehOUByO,Negro Como La Pantera,1QpM1kB7sggMOBuWUNUnfg,77,76,"['corrido', 'sierreno']",882628
665,Rod Wave,45TgXXqMDdF8BkjA83OM7z,Love For A Thug,694k4TfDqOqmhebj79li54,71,78,['florida rap'],5787712
666,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,DE LUNES A LUNES,7yci6r0cjX0Np5AshDZOsR,83,80,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",13180407
667,Post Malone,246dkjvS1zLTtiykXe5h60,Enough Is Enough,3BHFResGQiUvbYToUdaDQz,80,86,"['dfw rap', 'melodic rap', 'pop', 'rap']",42558785
668,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,Sobras y Mujeres,69kFrD7Mi8MJq9tAvJaYqO,77,85,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",5566162
669,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Mas Altas Que Bajadas,4Zx0yrZwW4uNpd1FhIrOV5,83,84,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",9278329
670,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,FAN,166lmjn9xjWj1AEdGX8PYh,75,79,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",3184634
671,2 Chainz,17lzZA2AlOHwCwFALHttmp,Presha (with Lil Wayne),6N7TGPYfGP2oxiy9Cpaz9G,73,73,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",8032487
